Open_time	Open	High	Low	Close	Volume	Close_time	Quote_asset_volume	Number_of_trades	Taker_buy_base_asset_volume	Taker_buy_quote_asset_volume
1/1/2025 0:00	0.845	0.8608	0.8438	0.8596	3433981.2	00:00.0	2930683.503	8996	2147684	1833131.654
1/1/2025 1:00	0.8595	0.8596	0.8524	0.8529	2230725.2	00:00.0	1909260.178	5903	994215.9	850828.0187
1/1/2025 2:00	0.8528	0.8582	0.8522	0.8571	1902153.5	00:00.0	1626023.223	5274	963925.3	824114.1148
1/1/2025 3:00	0.8571	0.8573	0.8511	0.8522	1959686	00:00.0	1672000.874	4497	889840.2	759229.5135
1/1/2025 4:00	0.8522	0.8547	0.849	0.8491	3011071.8	00:00.0	2564339.987	6665	1463844.4	1247171.864
1/1/2025 5:00	0.849	0.8592	0.8485	0.8561	3184472.4	00:00.0	2720618.337	6995	1458624.9	1246279.513
1/1/2025 6:00	0.8561	0.858	0.8527	0.8574	1693306.1	00:00.0	1448931.551	5536	828809.8	709247.8354
1/1/2025 7:00	0.8573	0.8595	0.8511	0.8518	3288249.7	00:00.0	2815753.823	7048	1340311.2	1147840.665
1/1/2025 8:00	0.8519	0.8552	0.8461	0.8467	2417880.2	00:00.0	2054447.085	7028	1025128.8	871554.2245
1/1/2025 9:00	0.8468	0.8496	0.838	0.8462	6319431.5	00:00.0	5323282.373	13679	3275778.9	2758461.978
1/1/2025 10:00	0.8462	0.8503	0.8437	0.8441	2079091.7	00:00.0	1759829.941	6658	901769.3	763457.8204
1/1/2025 11:00	0.8441	0.8565	0.8416	0.8532	4254130	00:00.0	3616819.61	10020	2071122.1	1761270.514
1/1/2025 12:00	0.8532	0.8679	0.8529	0.8657	6048971.7	00:00.0	5209149.434	16116	2855600.5	2459839.796
1/1/2025 13:00	0.8656	0.8707	0.8614	0.8649	5169998.2	00:00.0	4477782.062	15707	2605871.9	2257698.141
1/1/2025 14:00	0.865	0.8714	0.859	0.8648	5161618.2	00:00.0	4468242.723	13369	2925782.8	2533266.878
1/1/2025 15:00	0.8648	0.8787	0.8612	0.877	6301928.5	00:00.0	5491372.343	15854	3769865.6	3285896.885
1/1/2025 16:00	0.877	0.8932	0.876	0.8893	20038457.3	00:00.0	17780016.27	47439	9470100.8	8405273.786
1/1/2025 17:00	0.8894	0.892	0.8772	0.8887	8289525	00:00.0	7329497.226	22996	3374264.9	2981266.584
1/1/2025 18:00	0.8888	0.9248	0.8837	0.9218	15912418.3	00:00.0	14392546.16	39163	8690234.8	7871677.562
1/1/2025 19:00	0.9217	0.9355	0.9093	0.9172	20980105.9	00:00.0	19351796.22	48836	9769892.5	9017793.079
1/1/2025 20:00	0.9173	0.9324	0.9173	0.9205	16549202.2	00:00.0	15292836	31371	6066991.2	5611126.415
1/1/2025 21:00	0.9206	0.9253	0.915	0.919	16976316.9	00:00.0	15615598.07	26309	6046803.7	5561365.179
1/1/2025 22:00	0.9189	0.9246	0.9112	0.9213	10512086	00:00.0	9628273.929	16902	4702146.8	4311459.415
1/1/2025 23:00	0.9213	0.9234	0.914	0.9222	4146509.8	00:00.0	3808617.034	11735	1946228.2	1788805.241
1/2/2025 0:00	0.9222	0.9543	0.9222	0.9456	19710573.4	00:00.0	18574041.26	53232	10893969.7	10256595.39
1/2/2025 1:00	0.9455	0.9555	0.9436	0.9466	11166535.2	00:00.0	10605230.61	26813	6139387.1	5832790.602
1/2/2025 2:00	0.9466	0.9471	0.9386	0.9419	6054349.1	00:00.0	5702270.116	16722	2699910	2542892.225
1/2/2025 3:00	0.942	0.9448	0.9398	0.9421	2945809.2	00:00.0	2775176.936	10398	1424869.7	1342585.61
1/2/2025 4:00	0.9421	0.9495	0.9358	0.9447	5296612.4	00:00.0	4993389.496	16421	2708372.3	2554026.113
1/2/2025 5:00	0.9448	0.945	0.9303	0.9327	4520973.7	00:00.0	4239012.876	15327	2016599.8	1890558.89
1/2/2025 6:00	0.9327	0.9347	0.9245	0.9273	7346614.7	00:00.0	6826034.118	16399	3161688.4	2937235.057
1/2/2025 7:00	0.9272	0.9351	0.9252	0.9335	5071060	00:00.0	4720692.466	11335	2345641.3	2183647.51
1/2/2025 8:00	0.9335	0.9369	0.9288	0.9361	3836409.9	00:00.0	3577415.544	11553	2158781.1	2013962.52
1/2/2025 9:00	0.9361	0.9499	0.9349	0.949	9912051.2	00:00.0	9355913.705	19986	5665485.2	5348445.009
1/2/2025 10:00	0.949	0.9721	0.9477	0.9666	23527443.7	00:00.0	22611319.34	43275	14956703.1	14379777.58
1/2/2025 11:00	0.9666	0.9729	0.9571	0.9709	11320322.3	00:00.0	10910006.26	24086	6468044.8	6235827.119
1/2/2025 12:00	0.971	0.9828	0.9673	0.973	14269770.6	00:00.0	13919128.27	34633	7467981.7	7290240.955
1/2/2025 13:00	0.9729	0.9738	0.9608	0.9635	6774986.1	00:00.0	6545599.045	21321	2946258.2	2846626.093
1/2/2025 14:00	0.9636	0.9758	0.9544	0.965	15311790.8	00:00.0	14733594.47	40315	7400929.6	7128246.787
1/2/2025 15:00	0.965	0.9655	0.9494	0.955	10142238.9	00:00.0	9688909.971	27194	4759091	4547236.127
1/2/2025 16:00	0.9551	0.9655	0.951	0.9614	9301533.3	00:00.0	8941370.09	22441	5227028.5	5025043.201
1/2/2025 17:00	0.9615	0.9653	0.945	0.9529	8095890.4	00:00.0	7731981.073	21408	4176791.3	3990862.151
1/2/2025 18:00	0.9528	0.9621	0.9511	0.9615	3188439.2	00:00.0	3049455.546	10678	1647328.9	1575350.876
1/2/2025 19:00	0.9616	0.963	0.9551	0.9571	3326998.2	00:00.0	3190863.408	8748	1542715.1	1480412.982
1/2/2025 20:00	0.9571	0.966	0.9555	0.9601	5136892.1	00:00.0	4936138.025	13018	3095266.9	2974962.413
1/2/2025 21:00	0.9602	0.9675	0.9572	0.9663	2815998.8	00:00.0	2709719.941	9279	1551246.7	1493311.78
1/2/2025 22:00	0.9662	0.9679	0.958	0.9622	3721486	00:00.0	3585187.294	9719	1511273.8	1456550.194
1/2/2025 23:00	0.9621	0.9658	0.9586	0.9612	2187409.3	00:00.0	2104623.376	7529	1084607.3	1043461.186
1/3/2025 0:00	0.9612	0.9713	0.9612	0.9631	4537384.7	00:00.0	4387475.06	13822	2427350.4	2347138.451
1/3/2025 1:00	0.9631	0.9771	0.9569	0.9745	6173148.7	00:00.0	5975545.21	18264	3077196.6	2980326.39
1/3/2025 2:00	0.9745	0.9974	0.9743	0.9878	15816655.2	00:00.0	15629953.64	37288	9474841.6	9359976.305
1/3/2025 3:00	0.9879	1.031	0.9866	1.027	21308771	00:00.0	21378812.51	46489	13133078.1	13169029.48
1/3/2025 4:00	1.0269	1.027	1.0107	1.0146	11726074.6	00:00.0	11926354.12	34875	5875371.9	5975380.564
1/3/2025 5:00	1.0147	1.0222	1.0059	1.0212	10472118.4	00:00.0	10613078.27	27721	5235627.8	5312049.439
1/3/2025 6:00	1.0212	1.0421	1.0212	1.0398	18653151.4	00:00.0	19275546.36	48967	10790460.6	11151742.58
1/3/2025 7:00	1.0398	1.0472	1.024	1.0358	24497501	00:00.0	25362333.62	62733	13537859.1	14016843.6
1/3/2025 8:00	1.0359	1.0658	1.0346	1.0412	30863241.3	00:00.0	32414258.21	73958	18563585.7	19503783.9
1/3/2025 9:00	1.0412	1.0606	1.0408	1.0539	12986958.1	00:00.0	13666425.44	34839	6467515.7	6806754.493
1/3/2025 10:00	1.0538	1.0722	1.0453	1.0602	16667605.1	00:00.0	17664465.83	44594	8028134.1	8512485.668
1/3/2025 11:00	1.0602	1.0877	1.0602	1.0737	20002375.6	00:00.0	21529209.33	53992	10150535.4	10928569.99
1/3/2025 12:00	1.0737	1.1014	1.0737	1.09	21926821.3	00:00.0	23903455.58	62752	12031962	13121533.02
1/3/2025 13:00	1.0899	1.0974	1.0545	1.0716	34442701.4	00:00.0	37042840.27	79289	12533314	13497162.38
1/3/2025 14:00	1.0717	1.0935	1.0717	1.0917	14124945.7	00:00.0	15301939.98	40786	7134989.9	7730209.476
1/3/2025 15:00	1.0917	1.1013	1.0791	1.086	15411508.5	00:00.0	16783561.88	44592	7124981	7764948.071
1/3/2025 16:00	1.086	1.1153	1.0805	1.0909	24384784.9	00:00.0	26855050.26	75268	13864738.1	15282376.2
1/3/2025 17:00	1.0909	1.0997	1.078	1.0841	13975030.6	00:00.0	15198300.57	39957	5232168.9	5696838.797
1/3/2025 18:00	1.0842	1.0878	1.0797	1.0815	10028316.5	00:00.0	10867522.54	25138	4242912.9	4598195.768
1/3/2025 19:00	1.0816	1.0993	1.0807	1.0966	11984410.3	00:00.0	13079973.44	25484	5865166.7	6403279.339
1/3/2025 20:00	1.0965	1.1194	1.0918	1.1156	21141270.3	00:00.0	23416477.68	47608	13617637.1	15087733.6
1/3/2025 21:00	1.1157	1.1171	1.0862	1.0896	11815650.2	00:00.0	12969602.68	34898	4610322.3	5059764.914
1/3/2025 22:00	1.0897	1.0998	1.085	1.0975	7126148.7	00:00.0	7773451.419	17012	3504777.6	3822852.084
