Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
2025-01-01 00:00:00,189.31,192.66,189.08,192.54,109512.364,2025-01-01 00:59:59.999,20911201.78025,46813,62624.927,11958559.88245
2025-01-01 01:00:00,192.54,192.64,190.39,190.7,66529.126,2025-01-01 01:59:59.999,12739027.08647,34908,33305.16,6377631.08505
2025-01-01 02:00:00,190.7,192.04,190.44,191.59,65814.347,2025-01-01 02:59:59.999,12585213.50726,31017,39014.188,7459108.54962
2025-01-01 03:00:00,191.59,191.59,190.04,190.43,58528.042,2025-01-01 03:59:59.999,11163173.28736,23586,29108.653,5551073.85715
2025-01-01 04:00:00,190.42,190.43,189.32,189.47,70522.368,2025-01-01 04:59:59.999,13382958.56694,28316,40432.148,7672097.01871
2025-01-01 05:00:00,189.48,190.62,189.35,190.15,44126.517,2025-01-01 05:59:59.999,8392411.88882,22955,26535.76,5046561.54777
2025-01-01 06:00:00,190.15,190.31,189.4,190.3,37963.874,2025-01-01 06:59:59.999,7208124.73206,19969,21782.038,4135292.60265
2025-01-01 07:00:00,190.29,190.35,189.7,190.06,47757.379,2025-01-01 07:59:59.999,9074100.1818,20177,28403.247,5395971.76075
2025-01-01 08:00:00,190.06,190.74,189.3,189.4,57206.089,2025-01-01 08:59:59.999,10866368.94266,27858,36413.213,6917214.12386
2025-01-01 09:00:00,189.4,189.76,188.0,189.18,90289.829,2025-01-01 09:59:59.999,17037618.58189,40169,36102.591,6813051.50433
2025-01-01 10:00:00,189.19,191.03,189.17,190.24,71994.807,2025-01-01 10:59:59.999,13692628.8961,32419,44579.943,8475303.07392
2025-01-01 11:00:00,190.25,191.86,189.89,191.36,63070.217,2025-01-01 11:59:59.999,12047959.0239,35875,36700.118,7011275.87362
2025-01-01 12:00:00,191.35,191.75,190.42,190.95,85511.631,2025-01-01 12:59:59.999,16343511.4186,34862,42969.528,8212956.624
2025-01-01 13:00:00,190.94,191.29,189.59,190.25,79164.615,2025-01-01 13:59:59.999,15052927.06472,38545,37301.013,7092672.19877
2025-01-01 14:00:00,190.24,191.48,189.14,190.88,68958.644,2025-01-01 14:59:59.999,13133183.70063,46941,33981.018,6471993.46626
2025-01-01 15:00:00,190.88,192.15,189.98,191.91,69944.069,2025-01-01 15:59:59.999,13366573.85865,41646,38143.102,7290881.08893
2025-01-01 16:00:00,191.91,192.25,190.08,190.51,61361.767,2025-01-01 16:59:59.999,11723044.84762,43082,26193.622,5004856.30332
2025-01-01 17:00:00,190.52,190.65,189.25,190.64,67078.185,2025-01-01 17:59:59.999,12740127.25347,40722,29887.475,5676363.89864
2025-01-01 18:00:00,190.63,192.23,189.89,191.68,62362.621,2025-01-01 18:59:59.999,11923572.74057,43605,33807.573,6465626.64571
2025-01-01 19:00:00,191.69,193.91,191.49,193.1,102185.899,2025-01-01 19:59:59.999,19695682.99774,57293,47559.45,9168366.04308
2025-01-01 20:00:00,193.1,194.56,193.1,194.36,75579.707,2025-01-01 20:59:59.999,14654001.84462,46859,38642.583,7492028.79542
2025-01-01 21:00:00,194.36,195.33,193.71,194.69,83968.819,2025-01-01 21:59:59.999,16335720.29233,48134,37224.407,7243378.81621
2025-01-01 22:00:00,194.68,194.95,193.68,194.53,62287.96,2025-01-01 22:59:59.999,12102321.22877,26417,30239.31,5876255.71718
2025-01-01 23:00:00,194.54,195.16,193.81,194.28,53441.226,2025-01-01 23:59:59.999,10386977.98376,32856,26630.734,5176378.88091
2025-01-02 00:00:00,194.28,197.17,193.43,196.25,150184.717,2025-01-02 00:59:59.999,29375988.82985,90559,77934.879,15241443.56779
2025-01-02 01:00:00,196.25,198.47,196.11,197.71,132435.782,2025-01-02 01:59:59.999,26147742.83463,73450,76172.028,15040412.84634
2025-01-02 02:00:00,197.7,199.42,197.47,199.41,190538.571,2025-01-02 02:59:59.999,37808879.49167,57967,98788.933,19607347.72256
2025-01-02 03:00:00,199.41,199.7,197.8,198.54,123139.17,2025-01-02 03:59:59.999,24447574.57322,40841,57271.926,11373029.56962
2025-01-02 04:00:00,198.55,204.84,198.54,204.47,303074.466,2025-01-02 04:59:59.999,61341204.76841,111347,179676.483,36339581.97134
2025-01-02 05:00:00,204.47,205.5,203.31,204.62,140873.482,2025-01-02 05:59:59.999,28808040.34055,73290,72059.666,14743850.934
2025-01-02 06:00:00,204.63,205.97,203.96,205.36,180708.112,2025-01-02 06:59:59.999,37014210.05625,60817,100326.236,20547424.55008
2025-01-02 07:00:00,205.36,206.89,205.2,205.91,194280.905,2025-01-02 07:59:59.999,40012010.31359,60757,101980.871,20999781.26951
