Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
2025-01-01 00:00:00,4.1226,4.1995,4.119,4.1959,1024160.8,2025-01-01 00:59:59.999,4261096.20563,20193,434787.3,1808178.16524
2025-01-01 01:00:00,4.196,4.1961,4.1441,4.1574,712685.9,2025-01-01 01:59:59.999,2968297.03411,14585,322005.5,1340984.17358
2025-01-01 02:00:00,4.1573,4.1961,4.1572,4.1895,631167.7,2025-01-01 02:59:59.999,2638834.69362,12315,303261.2,1267853.07945
2025-01-01 03:00:00,4.1895,4.2158,4.1811,4.2131,600115.2,2025-01-01 03:59:59.999,2520715.2628,11752,267320.9,1122459.33028
2025-01-01 04:00:00,4.213,4.2212,4.159,4.1649,918893.5,2025-01-01 04:59:59.999,3845966.75112,17365,422342.6,1766950.92312
2025-01-01 05:00:00,4.1649,4.1986,4.1609,4.1733,616494.0,2025-01-01 05:59:59.999,2578814.21565,12356,327192.2,1368502.2855
2025-01-01 06:00:00,4.1736,4.1858,4.1571,4.1835,476877.2,2025-01-01 06:59:59.999,1988431.52371,9807,240397.3,1002333.97323
2025-01-01 07:00:00,4.1834,4.1834,4.1376,4.1415,855059.1,2025-01-01 07:59:59.999,3553048.12616,11299,463013.4,1923710.37505
2025-01-01 08:00:00,4.1415,4.1517,4.0942,4.0994,1709481.7,2025-01-01 08:59:59.999,7046469.77898,25190,803608.8,3313765.59129
2025-01-01 09:00:00,4.0994,4.1093,4.046,4.0793,2668863.9,2025-01-01 09:59:59.999,10862506.55955,35982,1012473.5,4121821.69249
2025-01-01 10:00:00,4.0793,4.1243,4.0793,4.1095,1210531.9,2025-01-01 10:59:59.999,4964070.47898,20083,589339.7,2416775.1735
2025-01-01 11:00:00,4.1098,4.1574,4.1037,4.1381,1069512.7,2025-01-01 11:59:59.999,4426118.00679,18097,468428.5,1937868.68544
2025-01-01 12:00:00,4.1382,4.1768,4.1382,4.1701,949127.6,2025-01-01 12:59:59.999,3949199.53184,18407,427829.5,1780057.52953
