Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
2025-01-01 00:00:00,441.0,448.9,440.4,448.8,1270.8871,2025-01-01 00:59:59.999,565512.52836,2075,811.2668,360964.80666
2025-01-01 01:00:00,448.9,448.9,442.6,443.7,790.6331,2025-01-01 01:59:59.999,352134.4643,1155,260.0402,115835.03725
2025-01-01 02:00:00,443.6,445.2,443.3,444.3,928.9728,2025-01-01 02:59:59.999,412747.46095,1358,367.8397,163416.20764
2025-01-01 03:00:00,444.4,444.4,441.5,442.3,2433.6988,2025-01-01 03:59:59.999,1076416.43768,2330,1610.5979,712375.71674
2025-01-01 04:00:00,442.2,445.8,440.5,442.9,3597.1329,2025-01-01 04:59:59.999,1591241.31059,3355,2575.412,1139053.98877
2025-01-01 05:00:00,442.8,446.7,442.8,445.4,608.1991,2025-01-01 05:59:59.999,270850.06449,1067,283.0932,126037.09303
2025-01-01 06:00:00,445.5,446.4,442.7,445.2,462.2384,2025-01-01 06:59:59.999,205547.29563,1062,262.4811,116729.54146
2025-01-01 07:00:00,445.2,445.6,443.8,444.7,890.3053,2025-01-01 07:59:59.999,395949.59491,1652,461.9,205414.18244
2025-01-01 08:00:00,444.7,445.5,440.9,441.3,1142.5639,2025-01-01 08:59:59.999,506440.70016,2002,757.9051,335889.93147
2025-01-01 09:00:00,441.4,442.9,435.0,438.5,4043.8128,2025-01-01 09:59:59.999,1770551.37275,4904,1435.6023,628618.83641
2025-01-01 10:00:00,438.7,443.8,438.3,442.8,3458.4925,2025-01-01 10:59:59.999,1527113.87629,4824,2013.8963,889366.89955
2025-01-01 11:00:00,442.9,448.8,441.4,445.7,2365.392,2025-01-01 11:59:59.999,1052097.63494,3404,880.0064,391372.60606
2025-01-01 12:00:00,445.6,448.2,444.7,446.8,2785.4077,2025-01-01 12:59:59.999,1244123.97581,3266,1105.7551,493889.42635
2025-01-01 13:00:00,446.6,448.6,443.6,445.0,1551.6863,2025-01-01 13:59:59.999,691388.4393,2999,783.1598,349031.4317
2025-01-01 14:00:00,445.2,447.4,441.5,445.5,2335.825,2025-01-01 14:59:59.999,1039664.38145,3227,1338.4706,595801.90958
2025-01-01 15:00:00,445.6,451.5,443.7,451.2,2351.0614,2025-01-01 15:59:59.999,1053583.84693,2657,1536.0859,688582.67916
2025-01-01 16:00:00,451.2,452.9,447.0,448.7,2198.8037,2025-01-01 16:59:59.999,989054.16886,3015,751.3655,338165.49526
2025-01-01 17:00:00,448.6,453.5,446.0,452.9,2552.5967,2025-01-01 17:59:59.999,1149752.72911,3573,1535.353,692040.79801
2025-01-01 18:00:00,452.8,462.7,451.7,461.4,5020.8478,2025-01-01 18:59:59.999,2304810.44485,4593,2896.0041,1328562.16505
2025-01-01 19:00:00,461.5,465.8,460.4,464.4,4501.1263,2025-01-01 19:59:59.999,2085548.77717,4668,2427.655,1125740.00707
2025-01-01 20:00:00,464.6,476.4,464.6,476.4,5415.1633,2025-01-01 20:59:59.999,2553741.54957,6110,3203.504,1510549.78508
2025-01-01 21:00:00,476.5,485.7,476.5,483.2,6237.2325,2025-01-01 21:59:59.999,3008654.42253,7733,3350.5338,1616357.79188
2025-01-01 22:00:00,483.6,488.5,479.1,485.9,2827.8646,2025-01-01 22:59:59.999,1365363.43001,4170,1438.1779,693754.86869
2025-01-01 23:00:00,485.9,491.1,481.2,489.5,7320.0948,2025-01-01 23:59:59.999,3571688.51806,7838,3882.7173,1895013.66493
2025-01-02 00:00:00,489.5,508.4,486.5,507.1,15301.1823,2025-01-02 00:59:59.999,7644170.59527,19375,7782.273,3884877.27197
2025-01-02 01:00:00,507.1,521.4,506.0,518.3,11236.0931,2025-01-02 01:59:59.999,5766350.65466,13475,6702.3351,3439636.24966
2025-01-02 02:00:00,518.4,536.6,517.9,536.5,12092.8749,2025-01-02 02:59:59.999,6392451.53418,17183,6040.0925,3192970.37363
2025-01-02 03:00:00,536.6,544.4,527.4,542.3,10576.7194,2025-01-02 03:59:59.999,5670132.00576,18847,4828.6789,2592661.85966
2025-01-02 04:00:00,542.3,547.0,525.2,529.3,14480.1396,2025-01-02 04:59:59.999,7744342.32898,20336,6414.3708,3437494.25751
2025-01-02 05:00:00,529.5,530.0,521.1,526.3,8604.8538,2025-01-02 05:59:59.999,4519665.22848,13250,3884.6477,2040799.73101
2025-01-02 06:00:00,526.4,529.2,507.8,514.9,16725.5198,2025-01-02 06:59:59.999,8623422.87487,19242,7187.0725,3699654.56019
2025-01-02 07:00:00,514.9,522.7,514.8,522.6,4651.5634,2025-01-02 07:59:59.999,2410659.74208,7276,2619.0568,1357653.3682
2025-01-02 08:00:00,522.6,528.0,521.6,525.6,6408.6881,2025-01-02 08:59:59.999,3361785.02966,7889,3509.2052,1840981.89054
2025-01-02 09:00:00,525.4,532.0,524.8,527.8,7070.2028,2025-01-02 09:59:59.999,3730115.4277,9975,3703.0713,1954491.14241
2025-01-02 10:00:00,527.7,528.9,523.7,524.3,3861.6113,2025-01-02 10:59:59.999,2030080.9166,7237,1903.4976,1000848.52528
2025-01-02 11:00:00,524.3,524.4,514.6,521.5,6887.6292,2025-01-02 11:59:59.999,3569152.86726,9777,2774.2117,1437605.69793
2025-01-02 12:00:00,521.5,529.9,520.0,528.6,7198.3592,2025-01-02 12:59:59.999,3787649.73407,9576,4542.3403,2389463.382
2025-01-02 13:00:00,528.7,530.3,524.3,526.5,3583.352,2025-01-02 13:59:59.999,1888080.40783,6600,1861.0302,980953.5965
2025-01-02 14:00:00,526.4,526.4,517.1,517.9,14049.5783,2025-01-02 14:59:59.999,7337377.96254,22414,7602.3858,3970686.48961
2025-01-02 15:00:00,517.8,519.8,510.1,511.4,9290.8138,2025-01-02 15:59:59.999,4770141.06712,18299,4432.3669,2275869.56994
2025-01-02 16:00:00,511.4,517.5,507.3,514.0,6650.9694,2025-01-02 16:59:59.999,3412761.27185,11552,3756.1797,1928887.97166
2025-01-02 17:00:00,514.1,518.9,510.2,512.9,3938.0099,2025-01-02 17:59:59.999,2024015.28037,7386,1789.4632,919879.36516
2025-01-02 18:00:00,512.9,513.3,508.7,510.2,3683.1331,2025-01-02 18:59:59.999,1879157.03873,8357,1687.9618,860962.97224
2025-01-02 19:00:00,510.2,515.6,509.5,514.7,3099.9945,2025-01-02 19:59:59.999,1591288.7062,5147,1942.0024,996888.23833
2025-01-02 20:00:00,514.8,520.7,514.8,519.1,5478.0885,2025-01-02 20:59:59.999,2839598.08367,8895,3024.7788,1567351.41029
